HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
C_2,11,HighIncVeh,leisure,B_3,B_2,0.00276597194294303
C_2,8,HighIncVeh,medical,B_3,B_2,0.0259186338771635
C_2,10,HighIncVeh,other,B_2,B_3,0.0081256434890771
C_5,12,LowIncVehSenior,leisure,B_3,C_4,0.0118912532238478
C_5,16,LowIncVehSenior,home,C_4,C_5,0.0199673769990993
C_5,9,LowIncVehSenior,other,A_3,A_3,0.0813473276208533
C_5,23,HighIncVeh,home,F_5,F_2,0.038717617271
C_5,18,HighIncVeh,leisure,F_2,F_5,0.00764174114747755
C_5,18,HighIncVehSenior,leisure,F_2,F_5,0.0760601812370656
C_5,14,HighIncVehSenior,leisure,F_2,F_2,0.0133288638547742
C_5,23,HighIncVehSenior,home,F_5,F_2,0.202093207042996
C_5,14,HighIncVeh,leisure,F_2,F_2,0.00504410820910183
C_2,19,HighIncVeh,leisure,B_1,B_5,0.0111972191998345
C_2,15,HighIncVeh,leisure,B_3,B_1,0.0069729632107126
C_2,14,HighIncVeh,leisure,B_1,B_3,0.00864120368659953
C_2,11,HighIncVeh,leisure,A_3,A_3,0.030005538728801
C_2,11,HighIncVeh,leisure,A_3,B_1,0.00886473615497784
C_2,21,HighIncVeh,leisure,B_5,A_3,0.101277460294582
C_5,13,HighIncVehSenior,home,A_5,C_3,0.0039946057828727
C_5,9,HighIncVehSenior,leisure,A_2,A_5,0.00582746954709751
C_5,13,HighIncVehSenior,leisure,A_5,C_3,0.00207597733221481
B_2,16,HighIncVeh,leisure,F_2,F_2,0.00983421648563836
B_2,14,HighIncVeh,leisure,F_2,F_4,0.0122186948717852
B_2,19,HighIncVeh,leisure,F_4,F_2,0.014530942288216
B_2,12,HighIncVeh,leisure,B_6,F_2,0.00770719467184822
B_2,18,HighIncVeh,leisure,F_2,F_4,0.00868101104275132
B_2,12,HighIncVeh,work,B_2,B_3,0.0782588484116732
B_2,10,HighIncVeh,other,B_2,B_1,0.131081576706773
B_2,10,HighIncVeh,leisure,B_1,B_6,0.00773788996211168
B_2,15,HighIncVeh,leisure,F_4,F_2,0.00956718901388238
B_2,8,HighIncVeh,work,B_2,B_3,0.115952507535372
B_2,18,HighIncVeh,leisure,B_2,B_2,0.377248910563337
B_2,18,HighIncVeh,home,B_2,B_2,0.574488203969855
B_2,7,HighIncVeh,leisure,B_2,B_2,0.518776308064275
B_2,12,HighIncVeh,leisure,B_3,B_2,0.0787453261405375
B_2,12,HighIncVeh,home,B_2,B_2,0.670040026124274
B_5,13,HighIncVeh,leisure,B_2,B_2,0.084053976357438
B_5,11,HighIncVeh,work,B_5,B_2,0.208080621806289
B_5,14,HighIncVeh,work,B_2,B_2,0.101818324711156
B_5,17,HighIncVeh,home,B_5,B_5,0.345175193517178
B_5,14,HighIncVeh,leisure,B_2,B_5,0.0210238175457304
B_5,18,HighIncVeh,leisure,B_5,B_3,0.0830214730418468
B_5,21,HighIncVeh,home,B_5,B_5,0.228228141266512
B_5,21,HighIncVeh,leisure,B_3,B_5,0.0338509227017496
B_5,11,HighIncVeh,leisure,B_5,B_5,0.465006111788418
B_5,8,LowIncVehSenior,leisure,C_3,A_5,0.0490060491093393
B_5,18,LowIncVehSenior,leisure,A_1,A_1,0.114888730680824
B_5,6,LowIncVehSenior,work,A_5,A_2,0.393363064870961
B_5,21,LowIncVehSenior,home,A_1,A_1,0.140025382649426
B_5,11,LowIncVehSenior,leisure,A_5,A_5,0.0718084439744577
B_5,16,LowIncVehSenior,home,A_2,A_5,0.0537188741409771
B_5,14,LowIncVehSenior,home,A_5,A_1,0.0256226052324014
A_5,6,HighIncVeh,work,A_5,A_2,0.169159341032083
A_5,9,HighIncVeh,work,A_5,A_3,0.317522587171387
A_5,15,HighIncVeh,home,A_3,A_5,0.205448342015392
A_5,18,HighIncVeh,home,A_5,A_5,0.276525094422911
A_5,15,HighIncVeh,home,A_2,A_5,0.236409009792029
A_5,16,HighIncVeh,leisure,A_5,A_5,0.222610397813331
A_2,22,HighIncVeh,home,A_1,A_2,0.204142415390916
A_2,8,HighIncVeh,leisure,A_2,A_3,0.231169689132051
A_2,10,HighIncNoVeh,leisure,A_2,A_3,0.453442735518348
A_2,18,HighIncVeh,home,A_3,A_2,0.24905817929494
A_2,8,HighIncVeh,other,A_2,A_3,0.139039522253806
A_2,13,HighIncVeh,home,A_3,A_2,0.186070611640533
A_2,10,HighIncNoVeh,leisure,A_3,A_2,0.453442735518348
A_2,9,HighIncVeh,home,A_2,A_2,0.570354687964752
A_2,9,HighIncVeh,leisure,A_3,A_2,0.0269097423971304
A_2,12,HighIncVeh,other,A_1,A_3,0.0328533543308156
A_2,16,HighIncVeh,leisure,A_2,A_3,0.129607097251877
A_2,12,HighIncVeh,leisure,A_1,A_1,0.0890811198168592
A_2,11,HighIncNoVeh,home,A_2,A_2,1
A_2,19,HighIncVeh,leisure,A_1,A_1,0.0883502180700893
A_2,15,HighIncNoVeh,leisure,A_2,A_3,0.485685404737428
A_2,17,HighIncVeh,leisure,A_1,A_1,0.07004281362326
A_2,13,HighIncVeh,work,A_1,A_1,0.15066824455445
A_2,9,HighIncVeh,work,A_3,A_1,0.0106701641088474
A_2,20,HighIncNoVeh,home,A_3,A_2,1
A_2,11,HighIncVeh,leisure,A_2,A_1,0.0717103606848306
A_2,15,HighIncNoVeh,school,A_2,A_3,0.522032314208929
A_3,12,HighIncVeh,work,A_3,A_1,0.082869028758166
A_3,7,HighIncVeh,home,A_1,A_1,0.00431557116285128
A_3,12,HighIncVeh,home,A_3,A_3,0.451826397048979
A_3,9,HighIncVeh,home,A_3,A_3,0.487137144688145
A_3,15,HighIncVeh,leisure,A_1,A_3,0.0508515525444528
A_3,11,HighIncVeh,home,A_3,A_3,0.42254160447165
A_3,13,LowIncVeh,other,A_5,A_3,0.104804208077209
A_3,18,HighIncVeh,other,A_1,A_2,0.00780172035480485
A_3,13,HighIncVeh,leisure,A_1,A_1,0.12251809807907
A_3,17,HighIncVeh,home,A_1,A_3,0.19400616535862
A_3,13,HighIncVeh,school,A_1,A_1,0.117373830221344
A_3,22,HighIncVeh,home,A_3,A_3,0.462424591476996
A_3,8,HighIncVeh,school,A_1,A_3,0.0103826905081942
A_3,13,LowIncVeh,leisure,A_2,A_5,0.0269481411995706
A_3,10,LowIncVeh,other,B_2,A_3,0.224581120433547
A_3,13,LowIncVeh,leisure,A_2,A_2,0.0716334364506461
A_3,14,HighIncVeh,home,A_1,A_1,0.00180752451794955
A_3,8,HighIncVeh,leisure,A_1,A_5,0.00161848382049008
A_3,18,HighIncVeh,home,A_3,A_3,0.425973093807319
A_3,16,HighIncVeh,home,A_3,A_3,0.403565871569352
A_3,11,LowIncVeh,work,A_3,A_2,0.495277205870536
A_3,13,LowIncVeh,home,A_3,A_3,0.288510459166605
A_3,8,HighIncVeh,school,A_3,A_1,0.114961027663135
A_3,12,HighIncVeh,leisure,A_5,A_1,0.00256478875337682
A_3,16,LowIncVeh,home,A_3,A_3,0.727547454180767
A_3,17,HighIncVeh,home,A_3,A_3,0.44235522982425
A_1,9,HighIncVeh,leisure,A_1,A_1,0.496214979539638
A_1,22,HighIncVeh,home,A_3,A_1,0.168908642602461
A_1,12,HighIncVeh,leisure,A_1,A_5,0.0160236562163446
A_1,17,HighIncVeh,home,A_2,A_1,0.140879536945841
A_1,17,HighIncVeh,home,A_1,A_1,0.562160473008371
A_1,7,HighIncVeh,school,A_1,A_2,0.173652328492219
A_1,10,HighIncVeh,home,A_1,A_1,0.57228047862386
A_1,15,HighIncVeh,home,A_5,A_1,0.0322759578909972
A_1,20,HighIncVeh,leisure,A_1,A_3,0.0932765846378819
A_1,7,HighIncVeh,work,A_1,A_2,0.171380771747866
A_1,17,HighIncVeh,leisure,A_1,A_1,0.404331175299874
A_1,12,HighIncVeh,work,A_1,A_1,0.423255075020659
A_1,8,HighIncVeh,work,A_1,A_1,0.469673160968357
A_1,12,HighIncVeh,leisure,A_1,A_1,0.409690394054331
A_1,14,HighIncVeh,home,A_3,A_1,0.203639418287918
A_1,13,HighIncVeh,leisure,A_1,A_3,0.104808978224101
A_1,20,HighIncVeh,home,A_1,A_1,0.525507677516617
A_1,6,HighIncVeh,leisure,A_1,A_2,0.15353644253132
A_1,17,HighIncVehSenior,leisure,A_1,A_3,0.242882279120298
A_1,16,HighIncVeh,home,A_2,A_1,0.193407033597584
A_1,15,HighIncVeh,work,A_3,A_2,0.0691907401763339
A_1,13,HighIncVehSenior,leisure,A_1,A_1,0.50842614684277
A_1,7,HighIncVeh,work,A_2,A_3,0.00424929665607946
A_1,19,HighIncVehSenior,home,A_3,A_1,0.320164516828554
A_1,11,HighIncVehSenior,leisure,A_1,A_1,0.60290156102605
A_1,9,HighIncVehSenior,home,A_1,A_1,0.775807138591693
A_1,8,HighIncVehSenior,leisure,A_1,A_3,0.121357970976153
A_1,9,HighIncVehSenior,work,A_3,A_1,0.109564446510485
A_1,13,HighIncVehSenior,home,A_1,A_1,0.776803250315774
A_1,12,HighIncVehSenior,leisure,A_1,A_1,0.220490463881906
A_1,18,HighIncVeh,leisure,B_3,B_3,0.000504182616613789
A_1,19,HighIncVeh,other,B_3,B_3,0.00490090087835729
A_1,18,HighIncVeh,home,A_3,A_1,0.167460370918498
A_1,6,HighIncVeh,leisure,A_1,A_3,0.183834309708251
A_1,18,HighIncVeh,leisure,A_1,A_1,0.533985386587354
A_1,6,HighIncVeh,work,A_3,B_3,0.00107062422357939
A_1,18,HighIncVeh,home,A_1,A_1,0.526303029630592
A_1,9,HighIncVeh,work,A_3,A_1,0.00732692698666204
A_1,20,HighIncVeh,home,B_3,A_1,0.000648746216003119
A_1,8,HighIncVeh,work,A_1,A_3,0.181633399972726
A_1,7,HighIncVeh,work,A_1,A_3,0.264736331494954
A_1,9,HighIncVeh,work,A_1,A_1,0.500560783724212
A_1,21,HighIncVeh,home,A_1,A_1,0.556371725052008
A_1,14,HighIncVeh,work,A_2,A_1,0.0808643780044807
A_1,13,LowIncVeh,work,A_1,A_1,0.394349888798255
A_1,12,HighIncVeh,home,A_1,A_1,0.483300072240053
