OriginMicrotypeID,DestinationMicrotypeID,DistanceBinID,From,A_1,B_1,C_1,A_2,B_2,C_2,A_3,B_3,C_3,A_4,B_4,C_4,A_5,B_5,C_5,A_6,B_6,C_6
A_1,B_3,xlong,A_4,0.0477975933875444,0.0,0.0,0.0828766486677698,0.0,0.0,0.62500241503242,0.0,0.0,0.0,0.0,0.0,0.214510971454353,0.0,0.0,0.0298123714579119,0.0,0.0
A_1,B_3,xlong,A_5,0.0025626643541118,0.0,0.0,0.161234695529683,0.0,0.0,0.0,0.327114829610534,0.0,0.178050217247579,0.0,0.0,0.009826614959269,0.183708253308843,0.0,0.0208744005375951,0.116628324452385,0.0
A_1,B_3,xlong,A_6,0.0,0.0,0.0,0.562907092880186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437092907119814,0.0,0.0,0.0,0.0,0.0
A_1,B_4,xlong,A_3,0.0169716952948637,0.0,0.0,0.0169716952948637,0.0,0.0,0.0169716952948637,0.0,0.0,0.0,0.0,0.0,0.639476019653129,0.30960889446228,0.0,0.0,0.0,0.0
A_1,B_4,xlong,A_2,0.299775350209984,0.0,0.0,0.418278559099379,0.0,0.0,0.0409119152243226,0.0,0.0,0.146771174938228,0.0,0.0,0.0838242939985999,0.0,0.0,0.0104387065294857,0.0,0.0
A_1,B_4,xlong,A_1,0.299444444795004,0.0,0.0,0.16207137765956,0.0,0.0,0.0040857919961543,0.0,0.0,0.0040857919961543,0.0,0.0,0.530312593553128,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,C_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458197774784631,0.0,0.0,0.0,0.541802225215369,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,C_5,0.0,0.0,0.0,0.0,0.0,0.0406376249557088,0.0,0.0,0.0886901403543697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,C_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_6,xlong,C_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,C_3,0.0,0.0,0.314221968177331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314221968177331,0.0,0.0,0.371556063645338
A_1,B_3,xlong,C_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,B_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877560430062921,0.0,0.0,0.0,0.0,0.0,0.075071787801968,0.0473677821351108,0.0,0.0,0.0
A_1,B_3,xlong,B_5,0.0,0.0761127839877786,0.0,0.0,0.218110947149128,0.0,0.0,0.490304033777999,0.0,0.0,0.0,0.0,0.0,0.19106819513647,0.0,0.0,0.0244040399486235,0.0
A_1,B_3,xlong,B_3,0.0,0.0526297269225821,0.0,0.0,0.246874948233831,0.0,0.0,0.245075262943453,0.0,0.0,0.0,0.0,0.0,0.342550847556252,0.0,0.0,0.111693850260394,0.0
A_1,B_3,xlong,B_2,0.0,0.157481383295617,0.0,0.0,0.0210526196588874,0.0,0.0,0.604066816049868,0.0,0.0,0.0,0.0,0.0,0.181778125943462,0.0,0.0,0.0356210550521663,0.0
A_1,B_3,xlong,B_1,0.0,0.0,0.0,0.0,0.525326745062738,0.0,0.0,0.474673254937262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,B_3,xlong,C_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
A_1,B_2,xlong,A_6,0.0538232316138792,0.0,0.0,0.0104077766810942,0.0,0.0,0.0538232316138792,0.0,0.0,0.0,0.0,0.0,0.570690654636886,0.311255105454262,0.0,0.0,0.0,0.0
A_1,C_1,xlong,A_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_1,xlong,C_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_4,xlong,B_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_4,xlong,C_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,A_1,0.0195093907892433,0.0,0.0,0.478402773537728,0.0,0.0,0.502087835673028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,A_2,0.0,0.0,0.0,0.108020491629419,0.0,0.0,0.883944056710141,0.0,0.0,0.0,0.0,0.0,0.0080354516604402,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,A_3,0.293112847953628,0.0,0.0,0.0337920922919953,0.0,0.0116931233189593,0.0348793427526212,0.0,0.0041523633420257,0.0170103332729372,0.0,0.0,0.309108933499372,0.0,0.0,0.0,0.0,0.0
A_1,C_5,xlong,A_4,0.0,0.0,0.0,0.0543007816300698,0.0,0.0,0.94569921836993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
