cost_group,f_sys,MicrotypeID,fsys_weight,microtype,Location,Functional Class,Category,Resurface Existing Lane (RESURFACING),"Add Lane, If No Obstacles (Normal Cost)","Add Lane, If Obstacle Code A",cost_class,restripe,add_obsA,add_noobs,LaneDedicationPerLaneMile,ROWConstructionPerLaneMile,
5,1,C_2,0.018702969,2,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,542052.6575,6015274.104,0.061637464
5,2,C_2,0.010440819,2,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,542052.6575,6015274.104,0.061637464
5,3,C_2,0.311083192,2,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,542052.6575,6015274.104,0.061637464
5,4,C_2,0.43590329,2,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,542052.6575,6015274.104,0.061637464
5,5,C_2,0.17728931,2,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,542052.6575,6015274.104,0.061637464
5,6,C_2,0.046445903,2,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,542052.6575,6015274.104,0.061637464
5,7,C_2,0.000134518,2,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,542052.6575,6015274.104,0.061637464
5,1,C_3,0.407233293,3,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,589315.025,6630034.723,0.067011725
5,2,C_3,0.088120589,3,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,589315.025,6630034.723,0.067011725
5,3,C_3,0.122003348,3,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,589315.025,6630034.723,0.067011725
5,4,C_3,0.19100549,3,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,589315.025,6630034.723,0.067011725
5,5,C_3,0.132394094,3,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,589315.025,6630034.723,0.067011725
5,6,C_3,0.059243179,3,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,589315.025,6630034.723,0.067011725
5,7,C_3,0,3,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,589315.025,6630034.723,0.067011725
5,1,C_4,0.014350673,4,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,530501.0989,5891608.091,0.060323922
5,2,C_4,0.006987032,4,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,530501.0989,5891608.091,0.060323922
5,3,C_4,0.287578985,4,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,530501.0989,5891608.091,0.060323922
5,4,C_4,0.332400652,4,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,530501.0989,5891608.091,0.060323922
5,5,C_4,0.313853219,4,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,530501.0989,5891608.091,0.060323922
5,6,C_4,0.044829444,4,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,530501.0989,5891608.091,0.060323922
5,7,C_4,0,4,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,530501.0989,5891608.091,0.060323922
5,1,C_5,0.024400648,5,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,503980.6002,5578884.031,0.057308244
5,2,C_5,0.021044898,5,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,503980.6002,5578884.031,0.057308244
5,3,C_5,0.170492549,5,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,503980.6002,5578884.031,0.057308244
5,4,C_5,0.3198182,5,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,503980.6002,5578884.031,0.057308244
5,5,C_5,0.120117629,5,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,503980.6002,5578884.031,0.057308244
5,6,C_5,0.342711954,5,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,503980.6002,5578884.031,0.057308244
5,7,C_5,0.00141412,5,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,503980.6002,5578884.031,0.057308244
5,1,C_6,0.053729155,6,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,527084.4537,5870571.436,0.059935411
5,2,C_6,0.015233397,6,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,527084.4537,5870571.436,0.059935411
5,3,C_6,0.253727849,6,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,527084.4537,5870571.436,0.059935411
5,4,C_6,0.198871648,6,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,527084.4537,5870571.436,0.059935411
5,5,C_6,0.456619777,6,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,527084.4537,5870571.436,0.059935411
5,6,C_6,0.021632587,6,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,527084.4537,5870571.436,0.059935411
5,7,C_6,0.000185589,6,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,527084.4537,5870571.436,0.059935411
5,1,D_1,0.019911812,1,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,538647.923,5984755.482,0.061250308
5,2,D_1,0.01452132,1,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,538647.923,5984755.482,0.061250308
5,3,D_1,0.302247339,1,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,538647.923,5984755.482,0.061250308
5,4,D_1,0.361621426,1,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,538647.923,5984755.482,0.061250308
5,5,D_1,0.295547517,1,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,538647.923,5984755.482,0.061250308
5,6,D_1,0.006032387,1,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,538647.923,5984755.482,0.061250308
5,7,D_1,0.000118201,1,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,538647.923,5984755.482,0.061250308
5,1,D_2,0.016692452,2,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,535926.7013,5952651.234,0.060940874
5,2,D_2,0.017233219,2,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,535926.7013,5952651.234,0.060940874
5,3,D_2,0.279013111,2,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,535926.7013,5952651.234,0.060940874
5,4,D_2,0.367745016,2,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,535926.7013,5952651.234,0.060940874
5,5,D_2,0.313133654,2,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,535926.7013,5952651.234,0.060940874
5,6,D_2,0.006066406,2,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,535926.7013,5952651.234,0.060940874
5,7,D_2,0.000116141,2,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,535926.7013,5952651.234,0.060940874
5,1,D_3,0.34074773,3,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,582861.1204,6550672.491,0.066277844
5,2,D_3,0.125231071,3,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,582861.1204,6550672.491,0.066277844
5,3,D_3,0.106935741,3,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,582861.1204,6550672.491,0.066277844
5,4,D_3,0.190854052,3,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,582861.1204,6550672.491,0.066277844
5,5,D_3,0.228929682,3,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,582861.1204,6550672.491,0.066277844
5,6,D_3,0.007186386,3,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,582861.1204,6550672.491,0.066277844
5,7,D_3,0.000115338,3,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,582861.1204,6550672.491,0.066277844
5,1,D_4,0.0178417,4,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,526832.5969,5850787.124,0.059906772
5,2,D_4,0.021194697,4,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,526832.5969,5850787.124,0.059906772
5,3,D_4,0.215523787,4,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,526832.5969,5850787.124,0.059906772
5,4,D_4,0.342441491,4,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,526832.5969,5850787.124,0.059906772
5,5,D_4,0.394303194,4,URBAN,Major Collector,Small Urbanized,469000,2021000,5216000,urban_small,469000,5216000,2021000,526832.5969,5850787.124,0.059906772
5,6,D_4,0.008629418,4,URBAN,Minor Collector,Small Urbanized,419000,1824000,4605000,urban_small,419000,4605000,1824000,526832.5969,5850787.124,0.059906772
5,7,D_4,6.57E-05,4,URBAN,Local,Small Urbanized,385000,1699000,4161000,urban_small,385000,4161000,1699000,526832.5969,5850787.124,0.059906772
5,1,D_5,0.022040299,5,URBAN,Interstate,Small Urbanized,666000,2761000,7601000,urban_small,666000,7601000,2761000,504740.4733,5594723.908,0.05739465
5,2,D_5,0.022319644,5,URBAN,Other Freeway and Expressway,Small Urbanized,630000,2653000,7091000,urban_small,630000,7091000,2653000,504740.4733,5594723.908,0.05739465
5,3,D_5,0.159447194,5,URBAN,Other Principal Arterial,Small Urbanized,596000,2548000,6673000,urban_small,596000,6673000,2548000,504740.4733,5594723.908,0.05739465
5,4,D_5,0.280908843,5,URBAN,Minor Arterial,Small Urbanized,539000,2305000,5928000,urban_small,539000,5928000,2305000,504740.4733,5594723.908,0.05739465
