PopulationGroupID,TripPurposeID,Mode,Intercept,BetaWaitAccessTime,BetaTravelTime,BetaMonetaryCost,BikeShare_Bike,Intercept_Pooled,BetaWaitAccessTime_Pooled,BetaTravelTime_Pooled,BetaMonetaryCost_Pooled,BikeShare_Bike_Pooled,Intercept_Pooled_EW,BetaWaitAccessTime_Pooled_EW,BetaTravelTime_Pooled_EW,BetaMonetaryCost_Pooled_EW,BikeShare_Bike_Pooled_EW,BetaTravelTimeMixed
HighIncNoVeh,home,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,home,Bus,-2.896,-0.148,-0.049,-0.019,0.0,-2.875,-0.142,-0.028,-0.022,0.0,-3.058,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,home,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
LowIncVeh,home,Rail,-3.234,-0.128,-0.012,-0.047,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.019,0.0,0.0
HighIncNoVeh,home,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
HighIncVeh,home,Rail,-3.234,-0.148,-0.049,-0.019,0.0,-3.153,-0.142,-0.028,-0.022,0.0,-3.385,-0.13,-0.028,-0.04,0.0,0.0
LowIncNoVeh,home,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
LowIncVeh,home,Ridehail,-5.186,-0.128,-0.019,-0.047,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.019,0.0,0.0
HighIncNoVeh,home,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
HighIncVeh,home,Ridehail,-5.186,-0.148,-0.065,-0.019,0.0,-5.191,-0.142,-0.044,-0.022,0.0,-5.166,-0.13,-0.044,-0.04,0.0,0.0
LowIncNoVeh,home,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
LowIncVeh,home,Bike,-3.168,-0.128,-0.082,-0.047,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.019,0.666,0.0
HighIncNoVeh,home,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
HighIncVeh,home,Bike,-3.168,-0.148,-0.083,-0.019,0.654,-3.132,-0.142,-0.081,-0.022,0.667,-3.133,-0.13,-0.081,-0.04,0.666,0.0
LowIncNoVeh,home,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
LowIncVeh,home,Walk,0.825,-0.128,-0.082,-0.047,0.0,0.825,-0.142,-0.081,-0.022,0.0,0.831,-0.13,-0.081,-0.019,0.0,0.0
